Business_Unit_Desc,Energy_Description,electricity_kWh,Month,Monthly_Air_Temp,Monthly_Cooling_Degree_Days,Monthly_Heating_Degree_Days
"Real Estate and Dev Serv",Electricity,246,8,16.65483871,33.8,75.5
"Real Estate and Dev Serv",Electricity,276,9,6.756666667,0,337.3
"Real Estate and Dev Serv",Electricity,376,10,3.593548387,0,446.6
"Real Estate and Dev Serv",Electricity,629,11,-0.656666667,0,559.7
"Real Estate and Dev Serv",Electricity,536,12,-3.516129032,0,667
"Utilities Delivery",Electricity,49,1,-6.867741935,0,770.9
"Utilities Delivery",Electricity,41,2,-12.4,0,851.2
"Utilities Delivery",Electricity,44,3,-5.806451613,0,738
"Utilities Delivery",Electricity,41,4,0.976666667,0,510.7
"Utilities Delivery",Electricity,37,5,14.12258065,11.2,131.4
"Utilities Delivery",Electricity,45,6,14.93666667,6.8,98.7
"Utilities Delivery",Electricity,56,7,17.14516129,26.4,52.9
"Utilities Delivery",Electricity,56,8,16.65483871,33.8,75.5
"Utilities Delivery",Electricity,46,9,6.756666667,0,337.3
"Utilities Delivery",Electricity,46,10,3.593548387,0,446.6
"Utilities Delivery",Electricity,44,11,-0.656666667,0,559.7
"Utilities Delivery",Electricity,50,12,-3.516129032,0,667
"Waste and Recycling Srvcs",Electricity,122,1,-6.867741935,0,770.9
"Waste and Recycling Srvcs",Electricity,88,2,-12.4,0,851.2
"Waste and Recycling Srvcs",Electricity,110,3,-5.806451613,0,738
"Waste and Recycling Srvcs",Electricity,100,4,0.976666667,0,510.7
"Waste and Recycling Srvcs",Electricity,99,5,14.12258065,11.2,131.4
"Waste and Recycling Srvcs",Electricity,104,6,14.93666667,6.8,98.7
"Waste and Recycling Srvcs",Electricity,111,7,17.14516129,26.4,52.9
"Waste and Recycling Srvcs",Electricity,114,8,16.65483871,33.8,75.5
"Waste and Recycling Srvcs",Electricity,101,9,6.756666667,0,337.3
"Waste and Recycling Srvcs",Electricity,102,10,3.593548387,0,446.6
"Waste and Recycling Srvcs",Electricity,104,11,-0.656666667,0,559.7
"Waste and Recycling Srvcs",Electricity,112,12,-3.516129032,0,667
"Water Services",Electricity,164,1,-6.867741935,0,770.9
"Water Services",Electricity,107,2,-12.4,0,851.2
"Water Services",Electricity,110,3,-5.806451613,0,738
"Water Services",Electricity,55,4,0.976666667,0,510.7
"Water Services",Electricity,12,5,14.12258065,11.2,131.4
"Water Services",Electricity,0,6,14.93666667,6.8,98.7
"Water Services",Electricity,0,7,17.14516129,26.4,52.9
"Water Services",Electricity,0,8,16.65483871,33.8,75.5
"Water Services",Electricity,3,9,6.756666667,0,337.3
"Water Services",Electricity,64,10,3.593548387,0,446.6
"Water Services",Electricity,94,11,-0.656666667,0,559.7
"Water Services",Electricity,115,12,-3.516129032,0,667
